customer_key,customer_name,region,tier
1,Customer 1,South,Platinum
2,Customer 2,Central,Silver
3,Customer 3,Central,Silver
4,Customer 4,South,Gold
5,Customer 5,Central,Silver
6,Customer 6,East,Platinum
7,Customer 7,Central,Platinum
8,Customer 8,North,Platinum
9,Customer 9,Central,Platinum
10,Customer 10,North,Silver
11,Customer 11,Central,Silver
12,Customer 12,North,Platinum
13,Customer 13,South,Gold
14,Customer 14,Central,Platinum
15,Customer 15,South,Platinum
16,Customer 16,Central,Silver
17,Customer 17,Central,Platinum
18,Customer 18,East,Gold
19,Customer 19,North,Silver
20,Customer 20,East,Gold
21,Customer 21,North,Silver
22,Customer 22,Central,Silver
23,Customer 23,Central,Silver
24,Customer 24,East,Platinum
25,Customer 25,East,Platinum
26,Customer 26,North,Silver
27,Customer 27,North,Platinum
28,Customer 28,South,Platinum
29,Customer 29,North,Gold
30,Customer 30,South,Gold
31,Customer 31,South,Silver
32,Customer 32,Central,Gold
33,Customer 33,North,Gold
34,Customer 34,South,Platinum
35,Customer 35,South,Platinum
36,Customer 36,North,Gold
37,Customer 37,East,Platinum
38,Customer 38,South,Silver
39,Customer 39,South,Silver
40,Customer 40,East,Silver
41,Customer 41,South,Platinum
42,Customer 42,Central,Gold
43,Customer 43,South,Gold
44,Customer 44,South,Platinum
45,Customer 45,North,Gold
46,Customer 46,North,Gold
47,Customer 47,South,Silver
48,Customer 48,East,Gold
49,Customer 49,Central,Silver
50,Customer 50,South,Silver
51,Customer 51,South,Gold
52,Customer 52,Central,Gold
53,Customer 53,North,Gold
54,Customer 54,Central,Platinum
55,Customer 55,East,Platinum
56,Customer 56,Central,Silver
57,Customer 57,North,Gold
58,Customer 58,South,Platinum
59,Customer 59,Central,Silver
60,Customer 60,North,Platinum
61,Customer 61,East,Gold
62,Customer 62,Central,Gold
63,Customer 63,North,Gold
64,Customer 64,South,Gold
65,Customer 65,North,Platinum
66,Customer 66,East,Silver
67,Customer 67,South,Gold
68,Customer 68,East,Silver
69,Customer 69,Central,Platinum
70,Customer 70,Central,Platinum
71,Customer 71,North,Platinum
72,Customer 72,Central,Platinum
73,Customer 73,Central,Platinum
74,Customer 74,East,Gold
75,Customer 75,East,Platinum
76,Customer 76,Central,Platinum
77,Customer 77,South,Silver
78,Customer 78,East,Platinum
79,Customer 79,East,Platinum
80,Customer 80,South,Platinum
81,Customer 81,Central,Gold
82,Customer 82,North,Gold
83,Customer 83,Central,Silver
84,Customer 84,East,Platinum
85,Customer 85,Central,Gold
86,Customer 86,East,Gold
87,Customer 87,South,Platinum
88,Customer 88,East,Platinum
89,Customer 89,South,Platinum
90,Customer 90,North,Gold
91,Customer 91,Central,Silver
92,Customer 92,South,Platinum
93,Customer 93,Central,Silver
94,Customer 94,South,Silver
95,Customer 95,North,Silver
96,Customer 96,South,Gold
97,Customer 97,North,Gold
98,Customer 98,East,Platinum
99,Customer 99,South,Platinum
100,Customer 100,East,Gold
101,Customer 101,East,Silver
102,Customer 102,South,Platinum
103,Customer 103,North,Silver
104,Customer 104,East,Silver
105,Customer 105,South,Platinum
106,Customer 106,East,Silver
107,Customer 107,South,Silver
108,Customer 108,East,Silver
109,Customer 109,East,Platinum
110,Customer 110,Central,Gold
111,Customer 111,East,Platinum
112,Customer 112,East,Silver
113,Customer 113,East,Gold
114,Customer 114,Central,Silver
115,Customer 115,Central,Platinum
116,Customer 116,East,Platinum
117,Customer 117,South,Gold
118,Customer 118,East,Silver
119,Customer 119,Central,Silver
120,Customer 120,Central,Gold
121,Customer 121,Central,Platinum
122,Customer 122,North,Silver
123,Customer 123,South,Silver
124,Customer 124,East,Platinum
125,Customer 125,South,Platinum
126,Customer 126,South,Silver
127,Customer 127,East,Gold
128,Customer 128,Central,Platinum
129,Customer 129,East,Gold
130,Customer 130,North,Silver
131,Customer 131,East,Gold
132,Customer 132,North,Platinum
133,Customer 133,East,Gold
134,Customer 134,North,Gold
135,Customer 135,Central,Gold
136,Customer 136,East,Platinum
137,Customer 137,South,Gold
138,Customer 138,South,Gold
139,Customer 139,East,Gold
140,Customer 140,North,Gold
141,Customer 141,Central,Platinum
142,Customer 142,East,Platinum
143,Customer 143,South,Gold
144,Customer 144,South,Platinum
145,Customer 145,North,Gold
146,Customer 146,North,Silver
147,Customer 147,East,Silver
148,Customer 148,East,Silver
149,Customer 149,North,Gold
150,Customer 150,East,Gold
151,Customer 151,South,Gold
152,Customer 152,Central,Gold
153,Customer 153,East,Gold
154,Customer 154,East,Gold
155,Customer 155,North,Gold
156,Customer 156,North,Platinum
157,Customer 157,North,Gold
158,Customer 158,South,Platinum
159,Customer 159,North,Platinum
160,Customer 160,North,Silver
161,Customer 161,South,Silver
162,Customer 162,North,Platinum
163,Customer 163,South,Silver
164,Customer 164,South,Gold
165,Customer 165,North,Platinum
166,Customer 166,South,Gold
167,Customer 167,Central,Gold
168,Customer 168,South,Platinum
169,Customer 169,North,Silver
170,Customer 170,Central,Silver
171,Customer 171,North,Gold
172,Customer 172,East,Gold
173,Customer 173,South,Silver
174,Customer 174,South,Silver
175,Customer 175,Central,Platinum
176,Customer 176,North,Platinum
177,Customer 177,North,Gold
178,Customer 178,East,Platinum
179,Customer 179,Central,Silver
180,Customer 180,Central,Silver
181,Customer 181,East,Gold
182,Customer 182,North,Gold
183,Customer 183,Central,Platinum
184,Customer 184,East,Platinum
185,Customer 185,South,Gold
186,Customer 186,South,Platinum
187,Customer 187,Central,Platinum
188,Customer 188,East,Gold
189,Customer 189,East,Platinum
190,Customer 190,Central,Gold
191,Customer 191,South,Silver
192,Customer 192,Central,Gold
193,Customer 193,South,Gold
194,Customer 194,East,Gold
195,Customer 195,North,Gold
196,Customer 196,Central,Silver
197,Customer 197,East,Silver
198,Customer 198,Central,Gold
199,Customer 199,Central,Gold
200,Customer 200,Central,Platinum
201,Customer 201,North,Platinum
202,Customer 202,South,Silver
203,Customer 203,South,Platinum
204,Customer 204,East,Gold
205,Customer 205,South,Platinum
206,Customer 206,East,Platinum
207,Customer 207,East,Gold
208,Customer 208,North,Silver
209,Customer 209,Central,Silver
210,Customer 210,East,Platinum
211,Customer 211,South,Gold
212,Customer 212,Central,Gold
213,Customer 213,Central,Gold
214,Customer 214,Central,Gold
215,Customer 215,East,Gold
216,Customer 216,Central,Gold
217,Customer 217,South,Silver
218,Customer 218,South,Gold
219,Customer 219,North,Platinum
220,Customer 220,South,Silver
221,Customer 221,South,Platinum
222,Customer 222,East,Gold
223,Customer 223,Central,Silver
224,Customer 224,South,Gold
225,Customer 225,South,Gold
226,Customer 226,South,Gold
227,Customer 227,North,Platinum
228,Customer 228,South,Gold
229,Customer 229,North,Silver
230,Customer 230,Central,Platinum
231,Customer 231,South,Platinum
232,Customer 232,East,Silver
233,Customer 233,North,Platinum
234,Customer 234,Central,Gold
235,Customer 235,East,Gold
236,Customer 236,Central,Silver
237,Customer 237,North,Gold
238,Customer 238,East,Silver
239,Customer 239,North,Gold
240,Customer 240,East,Silver
241,Customer 241,North,Silver
242,Customer 242,South,Platinum
243,Customer 243,Central,Silver
244,Customer 244,South,Silver
245,Customer 245,East,Platinum
246,Customer 246,South,Platinum
247,Customer 247,East,Gold
248,Customer 248,East,Gold
249,Customer 249,East,Gold
250,Customer 250,North,Platinum
251,Customer 251,North,Silver
252,Customer 252,South,Gold
253,Customer 253,North,Silver
254,Customer 254,South,Silver
255,Customer 255,North,Silver
256,Customer 256,North,Gold
257,Customer 257,East,Platinum
258,Customer 258,East,Gold
259,Customer 259,North,Silver
260,Customer 260,Central,Platinum
261,Customer 261,Central,Platinum
262,Customer 262,East,Silver
263,Customer 263,South,Gold
264,Customer 264,South,Gold
265,Customer 265,North,Platinum
266,Customer 266,South,Platinum
267,Customer 267,South,Gold
268,Customer 268,South,Silver
269,Customer 269,North,Silver
270,Customer 270,Central,Platinum
271,Customer 271,Central,Gold
272,Customer 272,North,Gold
273,Customer 273,Central,Platinum
274,Customer 274,East,Gold
275,Customer 275,East,Gold
276,Customer 276,North,Platinum
277,Customer 277,North,Gold
278,Customer 278,Central,Platinum
279,Customer 279,Central,Silver
280,Customer 280,North,Silver
281,Customer 281,North,Platinum
282,Customer 282,Central,Platinum
283,Customer 283,North,Silver
284,Customer 284,East,Platinum
285,Customer 285,East,Gold
286,Customer 286,South,Platinum
287,Customer 287,East,Platinum
288,Customer 288,East,Silver
289,Customer 289,East,Gold
290,Customer 290,East,Gold
291,Customer 291,Central,Platinum
292,Customer 292,North,Silver
293,Customer 293,Central,Gold
294,Customer 294,East,Gold
295,Customer 295,East,Platinum
296,Customer 296,North,Gold
297,Customer 297,North,Gold
298,Customer 298,Central,Gold
299,Customer 299,North,Gold
300,Customer 300,North,Platinum
301,Customer 301,East,Gold
302,Customer 302,North,Silver
303,Customer 303,Central,Platinum
304,Customer 304,East,Platinum
305,Customer 305,East,Silver
306,Customer 306,South,Gold
307,Customer 307,South,Gold
308,Customer 308,East,Platinum
309,Customer 309,East,Silver
310,Customer 310,North,Platinum
311,Customer 311,South,Platinum
312,Customer 312,South,Gold
313,Customer 313,North,Platinum
314,Customer 314,East,Silver
315,Customer 315,South,Silver
316,Customer 316,East,Silver
317,Customer 317,South,Gold
318,Customer 318,Central,Platinum
319,Customer 319,Central,Gold
320,Customer 320,East,Gold
321,Customer 321,South,Gold
322,Customer 322,South,Gold
323,Customer 323,South,Platinum
324,Customer 324,South,Silver
325,Customer 325,Central,Gold
326,Customer 326,Central,Platinum
327,Customer 327,Central,Silver
328,Customer 328,Central,Platinum
329,Customer 329,Central,Platinum
330,Customer 330,East,Silver
331,Customer 331,East,Platinum
332,Customer 332,East,Gold
333,Customer 333,Central,Platinum
334,Customer 334,East,Gold
335,Customer 335,Central,Silver
336,Customer 336,South,Platinum
337,Customer 337,East,Silver
338,Customer 338,East,Silver
339,Customer 339,Central,Platinum
340,Customer 340,East,Platinum
341,Customer 341,East,Gold
342,Customer 342,South,Gold
343,Customer 343,North,Silver
344,Customer 344,Central,Silver
345,Customer 345,East,Silver
346,Customer 346,East,Silver
347,Customer 347,South,Gold
348,Customer 348,South,Silver
349,Customer 349,East,Gold
350,Customer 350,Central,Platinum
351,Customer 351,East,Platinum
352,Customer 352,North,Gold
353,Customer 353,East,Gold
354,Customer 354,East,Platinum
355,Customer 355,North,Platinum
356,Customer 356,North,Silver
357,Customer 357,Central,Silver
358,Customer 358,North,Gold
359,Customer 359,North,Platinum
360,Customer 360,North,Gold
361,Customer 361,South,Platinum
362,Customer 362,Central,Silver
363,Customer 363,North,Gold
364,Customer 364,North,Gold
365,Customer 365,Central,Gold
366,Customer 366,East,Silver
367,Customer 367,South,Platinum
368,Customer 368,East,Platinum
369,Customer 369,South,Silver
370,Customer 370,South,Silver
371,Customer 371,East,Platinum
372,Customer 372,South,Gold
373,Customer 373,South,Silver
374,Customer 374,East,Platinum
375,Customer 375,Central,Gold
376,Customer 376,Central,Platinum
377,Customer 377,North,Gold
378,Customer 378,Central,Platinum
379,Customer 379,South,Silver
380,Customer 380,East,Gold
381,Customer 381,Central,Platinum
382,Customer 382,East,Platinum
383,Customer 383,Central,Gold
384,Customer 384,Central,Silver
385,Customer 385,East,Gold
386,Customer 386,North,Silver
387,Customer 387,East,Platinum
388,Customer 388,Central,Platinum
389,Customer 389,Central,Platinum
390,Customer 390,Central,Silver
391,Customer 391,East,Gold
392,Customer 392,North,Platinum
393,Customer 393,North,Platinum
394,Customer 394,East,Gold
395,Customer 395,South,Platinum
396,Customer 396,Central,Silver
397,Customer 397,South,Platinum
398,Customer 398,Central,Platinum
399,Customer 399,South,Platinum
400,Customer 400,North,Platinum
401,Customer 401,North,Gold
402,Customer 402,East,Silver
403,Customer 403,Central,Platinum
404,Customer 404,South,Silver
405,Customer 405,Central,Gold
406,Customer 406,East,Silver
407,Customer 407,South,Silver
408,Customer 408,Central,Platinum
409,Customer 409,Central,Silver
410,Customer 410,Central,Gold
411,Customer 411,Central,Platinum
412,Customer 412,Central,Silver
413,Customer 413,East,Silver
414,Customer 414,South,Silver
415,Customer 415,East,Platinum
416,Customer 416,Central,Silver
417,Customer 417,East,Silver
418,Customer 418,Central,Platinum
419,Customer 419,North,Gold
420,Customer 420,Central,Platinum
421,Customer 421,Central,Platinum
422,Customer 422,East,Platinum
423,Customer 423,Central,Silver
424,Customer 424,South,Gold
425,Customer 425,North,Platinum
426,Customer 426,Central,Platinum
427,Customer 427,South,Platinum
428,Customer 428,North,Platinum
429,Customer 429,East,Platinum
430,Customer 430,Central,Platinum
431,Customer 431,East,Silver
432,Customer 432,South,Silver
433,Customer 433,North,Gold
434,Customer 434,East,Silver
435,Customer 435,North,Silver
436,Customer 436,South,Gold
437,Customer 437,East,Gold
438,Customer 438,East,Platinum
439,Customer 439,South,Gold
440,Customer 440,North,Gold
441,Customer 441,East,Gold
442,Customer 442,North,Platinum
443,Customer 443,Central,Silver
444,Customer 444,East,Gold
445,Customer 445,South,Gold
446,Customer 446,North,Platinum
447,Customer 447,Central,Platinum
448,Customer 448,Central,Silver
449,Customer 449,East,Gold
450,Customer 450,South,Silver
451,Customer 451,East,Silver
452,Customer 452,South,Platinum
453,Customer 453,North,Silver
454,Customer 454,Central,Silver
455,Customer 455,South,Platinum
456,Customer 456,South,Silver
457,Customer 457,South,Platinum
458,Customer 458,South,Silver
459,Customer 459,Central,Silver
460,Customer 460,North,Gold
461,Customer 461,South,Silver
462,Customer 462,Central,Silver
463,Customer 463,North,Platinum
464,Customer 464,North,Silver
465,Customer 465,North,Gold
466,Customer 466,South,Platinum
467,Customer 467,Central,Silver
468,Customer 468,South,Gold
469,Customer 469,North,Silver
470,Customer 470,East,Platinum
471,Customer 471,North,Platinum
472,Customer 472,North,Gold
473,Customer 473,East,Gold
