date_key,full_date,year,month,week,day,weekday
1,2023-01-01,2023,1,52,1,Sunday
2,2023-01-02,2023,1,1,2,Monday
3,2023-01-03,2023,1,1,3,Tuesday
4,2023-01-04,2023,1,1,4,Wednesday
5,2023-01-05,2023,1,1,5,Thursday
6,2023-01-06,2023,1,1,6,Friday
7,2023-01-07,2023,1,1,7,Saturday
8,2023-01-08,2023,1,1,8,Sunday
9,2023-01-09,2023,1,2,9,Monday
10,2023-01-10,2023,1,2,10,Tuesday
11,2023-01-11,2023,1,2,11,Wednesday
12,2023-01-12,2023,1,2,12,Thursday
13,2023-01-13,2023,1,2,13,Friday
14,2023-01-14,2023,1,2,14,Saturday
15,2023-01-15,2023,1,2,15,Sunday
16,2023-01-16,2023,1,3,16,Monday
17,2023-01-17,2023,1,3,17,Tuesday
18,2023-01-18,2023,1,3,18,Wednesday
19,2023-01-19,2023,1,3,19,Thursday
20,2023-01-20,2023,1,3,20,Friday
21,2023-01-21,2023,1,3,21,Saturday
22,2023-01-22,2023,1,3,22,Sunday
23,2023-01-23,2023,1,4,23,Monday
24,2023-01-24,2023,1,4,24,Tuesday
25,2023-01-25,2023,1,4,25,Wednesday
26,2023-01-26,2023,1,4,26,Thursday
27,2023-01-27,2023,1,4,27,Friday
28,2023-01-28,2023,1,4,28,Saturday
29,2023-01-29,2023,1,4,29,Sunday
30,2023-01-30,2023,1,5,30,Monday
31,2023-01-31,2023,1,5,31,Tuesday
32,2023-02-01,2023,2,5,1,Wednesday
33,2023-02-02,2023,2,5,2,Thursday
34,2023-02-03,2023,2,5,3,Friday
35,2023-02-04,2023,2,5,4,Saturday
36,2023-02-05,2023,2,5,5,Sunday
37,2023-02-06,2023,2,6,6,Monday
38,2023-02-07,2023,2,6,7,Tuesday
39,2023-02-08,2023,2,6,8,Wednesday
40,2023-02-09,2023,2,6,9,Thursday
41,2023-02-10,2023,2,6,10,Friday
42,2023-02-11,2023,2,6,11,Saturday
43,2023-02-12,2023,2,6,12,Sunday
44,2023-02-13,2023,2,7,13,Monday
45,2023-02-14,2023,2,7,14,Tuesday
46,2023-02-15,2023,2,7,15,Wednesday
47,2023-02-16,2023,2,7,16,Thursday
48,2023-02-17,2023,2,7,17,Friday
49,2023-02-18,2023,2,7,18,Saturday
50,2023-02-19,2023,2,7,19,Sunday
51,2023-02-20,2023,2,8,20,Monday
52,2023-02-21,2023,2,8,21,Tuesday
53,2023-02-22,2023,2,8,22,Wednesday
54,2023-02-23,2023,2,8,23,Thursday
55,2023-02-24,2023,2,8,24,Friday
56,2023-02-25,2023,2,8,25,Saturday
57,2023-02-26,2023,2,8,26,Sunday
58,2023-02-27,2023,2,9,27,Monday
59,2023-02-28,2023,2,9,28,Tuesday
60,2023-03-01,2023,3,9,1,Wednesday
61,2023-03-02,2023,3,9,2,Thursday
62,2023-03-03,2023,3,9,3,Friday
63,2023-03-04,2023,3,9,4,Saturday
64,2023-03-05,2023,3,9,5,Sunday
65,2023-03-06,2023,3,10,6,Monday
66,2023-03-07,2023,3,10,7,Tuesday
67,2023-03-08,2023,3,10,8,Wednesday
68,2023-03-09,2023,3,10,9,Thursday
69,2023-03-10,2023,3,10,10,Friday
70,2023-03-11,2023,3,10,11,Saturday
71,2023-03-12,2023,3,10,12,Sunday
72,2023-03-13,2023,3,11,13,Monday
73,2023-03-14,2023,3,11,14,Tuesday
74,2023-03-15,2023,3,11,15,Wednesday
75,2023-03-16,2023,3,11,16,Thursday
76,2023-03-17,2023,3,11,17,Friday
77,2023-03-18,2023,3,11,18,Saturday
78,2023-03-19,2023,3,11,19,Sunday
79,2023-03-20,2023,3,12,20,Monday
80,2023-03-21,2023,3,12,21,Tuesday
81,2023-03-22,2023,3,12,22,Wednesday
82,2023-03-23,2023,3,12,23,Thursday
83,2023-03-24,2023,3,12,24,Friday
84,2023-03-25,2023,3,12,25,Saturday
85,2023-03-26,2023,3,12,26,Sunday
