product_key,sku,product_name,category,brand,unit_price
1,SKU-0001,Product 1,Electronics,Alpha,372.07
2,SKU-0002,Product 2,Clothing,Beta,74.07
3,SKU-0003,Product 3,Electronics,Epsilon,48.03
4,SKU-0004,Product 4,Books,Alpha,19.75
5,SKU-0005,Product 5,Clothing,Beta,255.15
6,SKU-0006,Product 6,Electronics,Epsilon,103.42
7,SKU-0007,Product 7,Toys,Delta,114.12
8,SKU-0008,Product 8,Toys,Gamma,405.67
9,SKU-0009,Product 9,Electronics,Beta,350.58
10,SKU-0010,Product 10,Grocery,Gamma,81.96
11,SKU-0011,Product 11,Grocery,Alpha,50.91
12,SKU-0012,Product 12,Electronics,Gamma,424.51
13,SKU-0013,Product 13,Toys,Gamma,404.53
14,SKU-0014,Product 14,Books,Epsilon,66.79
15,SKU-0015,Product 15,Books,Alpha,278.26
16,SKU-0016,Product 16,Toys,Gamma,290.79
17,SKU-0017,Product 17,Electronics,Alpha,332.33
18,SKU-0018,Product 18,Grocery,Alpha,428.38
19,SKU-0019,Product 19,Electronics,Delta,142.6
20,SKU-0020,Product 20,Grocery,Beta,188.24
21,SKU-0021,Product 21,Clothing,Gamma,352.4
22,SKU-0022,Product 22,Electronics,Epsilon,319.31
23,SKU-0023,Product 23,Toys,Beta,85.88
24,SKU-0024,Product 24,Books,Gamma,494.81
25,SKU-0025,Product 25,Toys,Beta,343.88
26,SKU-0026,Product 26,Electronics,Beta,411.79
27,SKU-0027,Product 27,Grocery,Delta,137.53
28,SKU-0028,Product 28,Clothing,Epsilon,438.8
29,SKU-0029,Product 29,Grocery,Beta,329.44
30,SKU-0030,Product 30,Books,Delta,75.72
31,SKU-0031,Product 31,Clothing,Beta,373.77
32,SKU-0032,Product 32,Toys,Gamma,374.77
33,SKU-0033,Product 33,Books,Epsilon,202.7
34,SKU-0034,Product 34,Clothing,Beta,257.22
35,SKU-0035,Product 35,Electronics,Alpha,431.25
36,SKU-0036,Product 36,Clothing,Beta,397.08
37,SKU-0037,Product 37,Books,Epsilon,36.45
38,SKU-0038,Product 38,Books,Epsilon,498.08
39,SKU-0039,Product 39,Toys,Gamma,485.68
40,SKU-0040,Product 40,Electronics,Alpha,342.45
41,SKU-0041,Product 41,Toys,Gamma,385.46
42,SKU-0042,Product 42,Grocery,Alpha,150.28
43,SKU-0043,Product 43,Clothing,Delta,6.61
44,SKU-0044,Product 44,Grocery,Epsilon,382.17
45,SKU-0045,Product 45,Toys,Alpha,435.91
46,SKU-0046,Product 46,Grocery,Epsilon,306.44
47,SKU-0047,Product 47,Clothing,Gamma,382.44
48,SKU-0048,Product 48,Toys,Epsilon,459.65
49,SKU-0049,Product 49,Toys,Gamma,246.86
50,SKU-0050,Product 50,Electronics,Gamma,439.97
51,SKU-0051,Product 51,Grocery,Beta,33.67
52,SKU-0052,Product 52,Toys,Alpha,47.4
53,SKU-0053,Product 53,Books,Alpha,489.1
54,SKU-0054,Product 54,Toys,Beta,68.55
55,SKU-0055,Product 55,Books,Epsilon,86.74
56,SKU-0056,Product 56,Toys,Epsilon,214.45
57,SKU-0057,Product 57,Clothing,Epsilon,378.86
58,SKU-0058,Product 58,Clothing,Gamma,202.5
59,SKU-0059,Product 59,Grocery,Delta,450.31
60,SKU-0060,Product 60,Books,Alpha,127.71
61,SKU-0061,Product 61,Electronics,Gamma,15.41
62,SKU-0062,Product 62,Toys,Beta,296.28
63,SKU-0063,Product 63,Electronics,Alpha,355.38
64,SKU-0064,Product 64,Electronics,Beta,38.36
65,SKU-0065,Product 65,Electronics,Gamma,40.07
66,SKU-0066,Product 66,Clothing,Gamma,336.14
67,SKU-0067,Product 67,Clothing,Epsilon,70.49
68,SKU-0068,Product 68,Toys,Epsilon,238.97
69,SKU-0069,Product 69,Books,Delta,99.25
70,SKU-0070,Product 70,Electronics,Delta,180.38
71,SKU-0071,Product 71,Books,Delta,432.6
72,SKU-0072,Product 72,Electronics,Alpha,35.0
73,SKU-0073,Product 73,Grocery,Alpha,128.08
74,SKU-0074,Product 74,Clothing,Epsilon,227.06
75,SKU-0075,Product 75,Books,Beta,142.88
76,SKU-0076,Product 76,Clothing,Alpha,224.35
77,SKU-0077,Product 77,Toys,Alpha,30.04
78,SKU-0078,Product 78,Toys,Alpha,484.65
79,SKU-0079,Product 79,Clothing,Beta,206.17
80,SKU-0080,Product 80,Books,Beta,433.0
81,SKU-0081,Product 81,Electronics,Beta,192.59
82,SKU-0082,Product 82,Books,Gamma,463.63
83,SKU-0083,Product 83,Books,Gamma,214.39
84,SKU-0084,Product 84,Toys,Delta,81.62
85,SKU-0085,Product 85,Grocery,Beta,484.51
86,SKU-0086,Product 86,Toys,Epsilon,35.17
87,SKU-0087,Product 87,Grocery,Alpha,29.82
88,SKU-0088,Product 88,Books,Epsilon,460.1
89,SKU-0089,Product 89,Toys,Beta,33.16
90,SKU-0090,Product 90,Toys,Alpha,426.41
91,SKU-0091,Product 91,Electronics,Epsilon,38.64
92,SKU-0092,Product 92,Clothing,Delta,64.34
93,SKU-0093,Product 93,Toys,Beta,291.56
94,SKU-0094,Product 94,Electronics,Epsilon,45.58
95,SKU-0095,Product 95,Toys,Epsilon,263.78
96,SKU-0096,Product 96,Grocery,Beta,336.51
97,SKU-0097,Product 97,Grocery,Beta,136.48
98,SKU-0098,Product 98,Clothing,Gamma,231.33
99,SKU-0099,Product 99,Electronics,Alpha,231.85
100,SKU-0100,Product 100,Toys,Alpha,41.26
