sale_id,date_key,product_key,customer_key,quantity,amount
1,96,56,50,6,1407.05
2,570,8,301,9,3718.59
3,687,16,211,6,1940.29
4,434,93,27,5,1501.71
5,361,14,296,9,549.31
6,673,62,115,2,565.92
7,570,48,59,5,2349.34
8,440,72,499,10,361.93
9,659,72,14,10,395.05
10,711,35,15,3,1205.75
11,317,44,180,1,345.64
12,147,73,337,7,780.79
13,649,4,47,9,162.56
14,430,59,175,3,1298.27
15,333,100,483,10,424.51
16,54,20,81,10,1628.14
17,84,35,227,7,3005.76
18,453,54,140,4,295.17
19,117,45,221,2,815.13
20,695,76,250,9,2120.39
21,47,29,203,10,2854.38
22,210,39,485,4,2098.54
23,262,38,168,2,849.05
24,441,23,67,7,607.04
25,236,65,287,6,209.56
26,44,56,10,8,1932.36
27,321,74,220,10,2205.49
28,656,54,149,2,133.19
29,333,22,411,10,3154.88
30,707,47,46,7,2953.74
31,250,56,302,7,1511.94
32,406,40,382,6,1883.07
33,173,10,262,2,165.43
34,199,100,179,6,264.45
35,661,19,121,2,254.95
36,203,23,309,3,277.75
37,672,10,91,8,648.59
38,578,98,297,8,1951.2
39,579,83,326,10,2030.19
40,643,41,78,8,2684.3
41,453,81,156,5,989.36
42,361,65,38,5,198.05
43,39,8,189,5,1770.79
44,93,79,305,9,1791.23
45,595,71,489,1,426.08
46,586,84,97,6,505.15
47,514,20,491,1,185.45
48,352,92,44,9,604.44
49,41,32,363,8,3439.78
50,537,67,313,3,202.84
51,290,50,210,6,2781.5
52,54,81,332,6,1005.06
53,97,72,348,7,229.13
54,673,78,448,3,1381.27
55,597,85,73,6,2741.56
56,672,90,340,7,2652.61
57,726,11,159,9,441.24
58,337,17,344,9,2626.18
59,687,55,261,6,445.22
60,317,24,487,4,1885.27
61,498,25,116,3,924.85
62,303,13,260,9,4006.8
63,540,5,339,6,1703.77
64,633,17,306,7,2085.02
65,186,89,395,10,362.34
66,170,93,225,1,283.76
67,693,93,122,8,2409.87
68,460,30,274,4,285.57
69,481,25,189,10,3938.57
70,473,99,145,7,1624.37
71,429,21,419,4,1537.0
72,142,33,27,8,1803.6
73,568,14,365,9,664.44
74,292,11,391,3,142.32
75,526,19,426,7,875.93
76,228,58,453,6,1371.91
77,425,7,203,9,988.24
78,396,11,192,4,174.82
79,102,92,333,6,419.79
80,141,5,147,8,2161.27
81,143,98,362,8,1822.1
82,6,11,10,5,232.84
83,154,71,482,10,4362.04
84,114,100,148,4,155.19
85,49,31,215,10,3689.61
86,114,64,306,9,295.16
87,528,74,124,3,638.53
88,2,79,181,4,842.16
89,192,86,343,2,70.84
90,370,9,489,9,3196.95
91,520,71,11,7,3367.36
92,45,82,199,6,2576.19
93,17,46,404,2,584.34
94,673,81,54,10,2061.78
95,341,18,23,6,2605.76
96,659,23,426,8,786.14
97,491,81,94,3,502.04
98,469,5,151,4,880.92
99,205,6,162,5,519.49
100,557,61,130,1,16.58
101,196,37,183,1,40.45
102,340,35,64,6,2538.56
103,410,96,226,7,2241.82
104,192,64,355,8,294.67
105,532,35,411,2,921.26
106,81,56,309,3,652.13
107,329,14,41,6,420.09
108,314,58,309,7,1275.74
109,455,45,229,1,465.57
110,362,79,223,5,1073.98
111,59,10,344,7,550.19
112,696,21,488,1,314.63
113,623,87,401,8,205.27
114,69,31,399,6,2149.88
115,581,5,310,3,806.57
116,380,48,228,2,939.69
117,543,47,204,6,2397.6
118,256,15,14,3,834.54
119,397,72,61,5,189.44
120,721,58,110,10,1894.74
121,503,26,63,3,1366.13
122,463,23,461,8,789.53
123,699,41,342,6,2458.15
124,564,70,149,5,996.97
125,729,91,475,3,126.13
126,521,29,63,4,1433.22
127,243,64,14,6,233.89
128,378,60,412,9,1021.73
129,89,9,159,7,2821.87
130,491,68,211,7,1835.05
131,76,17,498,6,2079.13
132,461,60,349,9,1095.78
133,565,82,301,3,1502.63
134,133,56,258,1,235.77
135,531,20,156,3,507.45
136,727,29,178,9,3316.24
137,81,33,101,9,1700.86
138,641,39,315,9,3837.97
139,657,22,304,10,2861.84
140,675,80,369,10,4119.07
141,578,6,423,1,90.43
142,657,99,296,5,1211.81
143,586,54,317,1,68.51
144,643,70,149,5,897.29
145,702,52,153,8,330.62
146,62,21,226,7,2455.15
147,209,44,311,3,1082.05
148,327,94,441,6,312.48
149,134,98,190,9,2120.48
150,327,31,239,2,695.39
151,254,19,50,1,133.63
152,394,79,215,4,939.15
153,164,42,479,10,1602.49
154,195,98,82,8,2126.0
155,479,64,451,5,191.65
156,93,51,259,8,307.07
157,221,75,181,1,123.61
158,507,77,452,8,224.87
159,9,14,221,3,223.36
160,375,98,207,6,1198.62
161,53,73,288,4,491.19
162,296,10,198,9,726.65
163,564,36,423,10,4185.7
164,122,17,500,2,643.5
165,348,72,481,6,226.06
166,204,78,261,7,3392.63
167,47,5,71,6,1670.5
168,532,59,77,10,5034.19
169,144,42,477,10,1420.99
170,403,79,379,5,1059.83
171,520,66,273,8,2857.52
172,307,61,418,1,14.8
173,690,15,214,10,2622.05
174,705,81,14,10,1911.22
175,672,100,297,10,378.88
176,53,75,246,3,431.76
177,635,100,431,7,258.3
178,698,32,17,10,4251.62
179,113,25,10,8,2597.28
180,156,53,354,4,1903.8
181,627,61,447,1,16.36
182,532,27,288,6,948.49
183,490,68,193,6,1630.26
184,471,69,176,9,854.2
185,698,83,412,5,1107.35
186,197,32,143,9,3169.04
187,305,99,148,4,980.33
188,501,41,246,6,2354.73
189,281,37,63,10,383.81
190,389,51,420,6,229.57
191,150,38,22,5,2830.57
