practice_code,practice_name,area_type,region,lat,lon,num_doctors,established_year
P001,คลินิกเวชกรรม 01 - ศรีสุข,urban,North,13.9685,100.8960,6,1995
P002,คลินิกเวชกรรม 02 - สุขใจ,urban,Bangkok,15.5976,102.1953,4,2020
P003,คลินิกเวชกรรม 03 - มิตรภาพ,urban,South,15.2013,100.4329,8,2005
P004,คลินิกเวชกรรม 04 - มิตรภาพ,urban,South,13.9836,104.5850,6,2003
P005,คลินิกเวชกรรม 05 - มิตรภาพ,suburban,South,16.1811,105.3387,5,1997
P006,คลินิกเวชกรรม 06 - สุขใจ,rural,Bangkok,17.9273,101.6698,3,2017
P007,คลินิกเวชกรรม 07 - มิตรภาพ,urban,Northeast,17.3653,105.4113,8,2002
P008,คลินิกเวชกรรม 08 - มิตรภาพ,rural,Central,15.7671,104.5047,3,2006
P009,คลินิกเวชกรรม 09 - รวมแพทย์,urban,Central,17.0091,103.6013,2,2014
P010,คลินิกเวชกรรม 10 - ประชารักษ์,suburban,Northeast,14.3170,101.7767,7,2017
P011,คลินิกเวชกรรม 11 - สุขใจ,urban,Central,17.7143,104.1560,3,1996
P012,คลินิกเวชกรรม 12 - รวมแพทย์,rural,Central,13.8309,104.9788,6,2017
P013,คลินิกเวชกรรม 13 - รวมแพทย์,urban,South,15.4782,104.9873,5,1999
P014,คลินิกเวชกรรม 14 - รวมแพทย์,urban,Northeast,17.2249,102.7339,7,2013
P015,คลินิกเวชกรรม 15 - ศรีสุข,suburban,South,15.3100,105.4840,3,2011
